i,j,c(ij),d(ij)
0.0,89.0,0.9533652605986525,1.398833572880368
0.0,61.0,0.0948819042086303,4.916454904690823
0.0,78.0,0.548222552050216,4.320489883440638
0.0,87.0,0.5052114967922542,0.7232691370436822
0.0,83.0,0.059529708793136016,1.970366242453534
0.0,68.0,0.32171421862027816,4.9053479279867656
0.0,38.0,0.7799211234930181,0.53507481342569
0.0,57.0,0.1287396506416384,2.970106451567966
0.0,80.0,0.18785526116556983,3.1817161541908057
0.0,59.0,0.31258413132119833,4.831475495095202
0.0,42.0,0.7556823278309353,4.430950773671628
0.0,45.0,0.1591660600723277,2.5105641773409615
0.0,77.0,0.9943239772518421,4.937432805992708
0.0,71.0,0.2516529811269308,1.433230311707654
0.0,73.0,0.7814945998456925,3.6276463026458865
0.0,56.0,0.8803274581790624,1.2736401022049182
0.0,52.0,0.5719849438498921,0.38223970711875
0.0,47.0,0.15789000146010201,4.000036020363503
0.0,67.0,0.8565655402999105,1.0868837865603398
0.0,49.0,0.6442927816693732,1.3722798586266554
0.0,54.0,0.48105955071996,2.2250868689072916
0.0,55.0,0.6722860481735894,3.344162456580213
0.0,43.0,0.583774076247613,1.9752224281055886
0.0,36.0,0.7194968495308418,4.276525242805317
0.0,69.0,0.4542602098682751,0.22617758049568948
0.0,70.0,0.3019573947868256,1.123605137727493
0.0,76.0,0.672269314013778,1.3966860954243216
0.0,60.0,0.7515390663792257,4.550344182224441
0.0,48.0,0.1928198767067696,3.8980845995944797
0.0,79.0,0.7755353036670761,0.9852033049255715
0.0,63.0,0.928475954011895,0.0011980004667017097
0.0,40.0,0.029748870349182943,3.515194380724404
0.0,41.0,0.5241717311194461,3.423836367793692
0.0,51.0,0.9753348290146003,2.990886120545153
0.0,72.0,0.18800149044045777,4.38624142264903
0.0,81.0,0.5412874533635076,1.3270423294896094
0.0,50.0,0.5720557632513043,2.2592555106089636
0.0,85.0,0.561317864968175,3.4396492366294447
0.0,46.0,0.716972742353821,2.5697639469417757
0.0,35.0,0.6532253312075813,3.6813344946288007
0.0,62.0,0.7827534719114572,4.1405198028659385
0.0,84.0,0.30222096497973727,4.74032451974329
0.0,37.0,0.0004046918833126023,2.1973056628859617
0.0,86.0,0.21598366279058134,3.7125526982437957
0.0,58.0,0.6880603559214693,1.9187607277324976
0.0,66.0,0.6207963565205653,4.372190955056415
0.0,82.0,0.9585478914466871,4.0650047237193245
0.0,88.0,0.2622400231219517,3.628211678853142
0.0,53.0,0.4087770095007356,0.1944751469374234
0.0,44.0,0.49124095430259274,4.1802016044830115
0.0,34.0,0.3775520651570199,0.2708182917318963
0.0,75.0,0.986988391852667,0.3553535318112222
0.0,39.0,0.3584191767545434,0.8387096823340767
0.0,64.0,0.5706116263496688,3.3990337331200515
0.0,74.0,0.9193685249785165,0.190554240041948
0.0,65.0,0.7250052066167391,1.0303405990974601
1.0,24.0,0.46883647673724094,3.05804124096052
1.0,61.0,0.4628266111851276,2.702905643150179
1.0,15.0,0.15619628877869762,3.9451158182764017
1.0,54.0,0.7089232436020999,0.48730847372837505
1.0,75.0,0.9564542686147165,2.3316148041366516
1.0,25.0,0.3515174994530931,2.920875691722812
1.0,73.0,0.5018165219113577,1.5324414859989743
1.0,81.0,0.7998763995407245,4.758457901830047
1.0,56.0,0.22608735545402536,4.579253095567958
1.0,11.0,0.3969166468656633,4.313965990072247
1.0,50.0,0.7541492396791105,3.982820085612109
1.0,49.0,0.6238992272811096,2.2324293384500944
1.0,29.0,0.3881317677773437,2.949342688895313
1.0,33.0,0.47576154081106514,2.364728064714124
1.0,46.0,0.3608644613446762,1.5369872146938413
1.0,5.0,0.9539891585149328,0.06403900762177728
1.0,44.0,0.13311353508322976,0.3513170843944302
1.0,14.0,0.9037487126681618,3.9416265562213693
1.0,30.0,0.4107449061862162,0.9762624621997396
1.0,40.0,0.8144036889411038,3.4807081172935734
1.0,36.0,0.9555675809336467,3.7687685422542625
1.0,43.0,0.9993427605858557,2.2376907523877354
1.0,31.0,0.45269181364743205,3.6601140129408294
1.0,34.0,0.010889629766527187,2.611205326841194
1.0,47.0,0.17713264389765204,1.0769983533901917
1.0,35.0,0.8304783335356335,0.19928443911339466
1.0,55.0,0.9218757354055372,3.926153641552788
1.0,82.0,0.3253727086691792,0.4603906305863015
1.0,20.0,0.8708385538754188,0.5570915550396949
